study_hours_per_day,dsa_hours_per_week,dsa_problems_solved,projects_count,internships,cgpa,mock_interviews,communication_score,resume_score,hackathons_participated,placement_status
5.2,10.2,103,3,0,9.45,4,5.0,4.0,2,Placed
4.3,8.8,104,4,0,7.75,0,7.9,5.6,0,Placed
5.5,6.2,84,0,0,7.97,0,5.1,2.9,2,Not Placed
6.8,4.1,36,3,0,8.67,1,8.3,4.0,0,Not Placed
4.1,8.1,97,1,1,7.36,4,6.0,5.8,1,Placed
4.1,7.2,82,2,1,6.59,6,5.0,5.7,0,Not Placed
6.9,8.7,78,3,0,7.21,3,4.9,4.5,0,Placed
5.7,7.9,97,2,1,7.44,1,8.3,6.0,1,Not Placed
3.8,9.1,90,0,0,6.89,0,7.0,4.2,1,Placed
5.3,4.4,50,0,0,7.2,0,4.9,2.8,0,Not Placed
3.8,10.0,85,1,0,6.0,0,6.2,4.6,1,Not Placed
3.8,6.6,73,4,0,6.38,1,2.5,3.5,0,Not Placed
4.9,12.2,124,1,1,8.16,3,4.0,3.4,1,Placed
1.6,3.9,54,0,1,6.34,5,4.9,4.5,0,Placed
1.9,11.2,94,2,0,6.08,7,4.8,4.3,0,Not Placed
3.7,6.6,72,0,0,7.24,0,7.8,3.7,0,Not Placed
3.0,4.0,45,3,0,5.7,4,3.1,3.7,3,Not Placed
5.0,4.5,59,3,0,6.93,2,3.9,3.9,0,Not Placed
3.1,5.0,60,2,0,6.79,2,6.7,5.0,2,Placed
2.4,7.3,92,4,0,5.49,4,6.3,6.8,1,Placed
6.7,7.6,101,0,1,8.43,0,5.5,3.4,0,Placed
4.2,4.3,60,4,1,6.2,3,9.1,7.3,4,Placed
4.6,5.9,60,1,0,6.15,1,6.9,4.3,0,Placed
2.4,12.4,146,2,1,6.7,3,7.8,5.6,1,Placed
3.7,11.2,155,1,0,7.56,6,5.9,2.7,2,Placed
4.7,7.3,109,1,0,6.89,3,5.2,4.2,2,Placed
2.8,6.1,86,4,0,5.32,5,5.2,4.7,1,Not Placed
5.1,6.4,67,0,1,5.99,2,7.4,2.8,2,Not Placed
3.6,7.8,73,0,1,8.09,1,7.2,5.4,0,Placed
4.1,2.9,33,3,1,7.11,4,5.7,5.2,3,Placed
3.6,5.2,68,1,0,6.37,7,6.7,4.5,2,Not Placed
7.3,1.0,11,2,1,8.38,2,7.4,7.0,2,Not Placed
4.5,7.2,81,1,0,5.9,4,5.2,3.4,3,Not Placed
2.9,7.9,110,2,1,6.89,4,5.5,2.9,1,Placed
5.7,4.6,47,3,0,9.27,0,6.7,3.2,2,Placed
2.7,10.7,150,3,0,5.79,5,3.3,2.8,0,Not Placed
4.8,2.3,25,1,0,9.08,7,6.7,3.9,3,Placed
1.6,1.6,16,1,1,5.7,1,4.3,5.0,2,Not Placed
2.5,6.7,74,1,0,7.42,2,7.4,4.6,2,Not Placed
4.8,9.1,121,2,1,7.61,3,9.2,9.4,0,Placed
5.6,11.1,98,2,0,8.02,1,5.0,2.2,2,Placed
4.8,4.6,43,4,1,8.67,2,4.0,5.5,2,Not Placed
4.3,9.2,135,4,1,7.71,2,5.7,5.8,1,Placed
4.0,5.9,54,4,1,7.29,1,5.6,6.4,1,Placed
2.3,5.5,65,2,0,5.0,7,7.0,6.4,1,Placed
3.4,8.7,104,2,0,5.66,0,6.4,6.2,1,Placed
3.8,8.0,90,0,0,7.23,8,5.6,2.8,0,Placed
6.1,1.3,15,2,1,9.07,3,6.1,6.1,3,Placed
5.0,10.4,100,1,0,7.6,3,4.3,3.0,1,Placed
1.9,10.1,120,2,0,5.51,0,7.2,3.7,2,Placed
5.0,4.1,43,2,0,6.21,3,8.4,5.4,1,Placed
3.9,7.2,90,1,0,6.41,1,4.2,2.2,3,Placed
3.5,7.5,67,5,1,6.83,3,3.6,5.8,5,Placed
5.4,6.8,81,1,0,7.11,1,5.4,2.4,2,Placed
6.0,4.3,40,3,1,7.35,1,4.2,5.0,1,Placed
5.9,4.0,39,2,0,7.91,5,4.1,3.5,1,Placed
3.2,5.9,56,3,0,7.63,4,3.9,4.5,1,Placed
4.0,9.5,88,4,0,7.5,9,5.7,5.6,0,Placed
5.0,7.6,105,1,0,7.7,2,5.4,4.9,0,Placed
6.0,4.9,48,0,0,8.11,2,6.6,5.5,2,Placed
3.8,8.3,120,4,1,7.28,2,5.2,5.6,1,Placed
4.2,0.0,0,3,0,7.03,2,4.2,4.9,2,Not Placed
2.8,9.4,113,1,1,6.13,4,6.0,6.7,5,Placed
2.7,0.8,7,2,0,6.87,1,4.4,4.4,4,Placed
5.7,4.9,52,4,0,7.7,2,6.8,6.5,0,Placed
6.5,2.6,35,3,1,7.44,2,3.5,2.7,0,Not Placed
4.4,2.1,22,1,0,8.21,3,2.8,1.4,2,Placed
6.0,9.5,81,0,0,6.69,1,3.6,1.4,2,Not Placed
5.0,4.6,54,4,0,8.58,1,5.4,6.5,2,Placed
3.5,7.0,97,1,0,7.12,5,5.6,2.7,1,Placed
5.0,5.9,79,1,1,6.84,4,6.2,4.6,1,Placed
6.8,7.4,68,3,0,8.42,7,5.2,5.2,2,Placed
4.4,6.2,79,3,1,6.92,1,4.7,4.4,1,Placed
6.8,2.2,20,2,1,8.99,2,8.1,6.6,4,Placed
1.0,9.0,85,0,0,6.05,5,7.8,4.0,0,Placed
5.7,4.5,63,3,1,8.19,4,7.5,7.4,3,Placed
4.6,1.3,12,1,0,7.84,5,6.5,4.5,6,Placed
4.1,4.7,46,1,1,6.95,4,6.6,5.5,4,Placed
